iter	Passed	Remaining
0	61	61542
1	61	30879
2	62	20641
3	62	15521
4	62	12450
5	62	10401
6	63	8939
7	63	7850
8	63	7001
9	63	6316
10	64	5762
11	64	5300
12	64	4906
13	64	4572
14	65	4279
15	65	4025
16	65	3808
17	66	3607
18	66	3426
19	66	3263
20	66	3116
21	67	2982
22	67	2860
23	67	2748
24	67	2644
25	68	2549
26	68	2462
27	68	2381
28	68	2305
29	69	2233
30	69	2168
31	69	2106
32	69	2049
33	70	2001
34	70	1951
35	71	1901
36	71	1856
37	71	1814
38	71	1772
39	72	1732
40	72	1694
41	72	1657
42	72	1622
43	73	1590
44	73	1558
45	73	1528
46	73	1499
47	74	1474
48	74	1448
49	75	1425
50	75	1402
51	75	1380
52	76	1358
53	76	1337
54	76	1316
55	76	1297
56	77	1279
57	77	1261
58	78	1245
59	78	1234
60	79	1221
61	79	1206
62	79	1189
63	80	1173
64	80	1158
65	80	1142
66	81	1129
67	81	1114
68	81	1101
69	81	1088
70	82	1075
71	82	1063
72	82	1052
73	83	1040
74	83	1029
75	83	1018
76	84	1008
77	84	998
78	84	989
79	85	980
80	85	970
81	85	961
82	86	954
83	86	945
84	86	934
85	87	925
86	87	915
87	87	906
88	87	898
89	88	890
90	88	883
91	88	874
92	88	866
93	89	858
94	89	851
95	89	844
96	90	838
97	90	832
98	90	826
99	91	819
100	91	813
101	91	805
102	91	800
103	92	795
104	92	790
105	93	784
106	93	778
107	93	773
108	93	767
109	94	761
110	94	755
111	94	750
112	94	745
113	95	739
114	95	734
115	95	728
116	95	723
117	96	718
118	96	712
119	96	707
120	96	702
121	96	697
122	97	691
123	97	687
124	97	684
125	98	679
126	98	675
127	98	670
128	98	666
129	98	661
130	99	657
131	99	653
132	99	649
133	99	644
134	99	640
135	100	636
136	100	632
137	100	629
138	100	625
139	101	621
140	101	617
141	101	614
142	102	611
143	102	607
144	102	604
145	102	600
146	102	597
147	103	594
148	103	590
149	103	587
150	103	583
151	104	580
152	104	577
153	104	573
154	104	570
155	104	567
156	105	564
157	105	561
158	105	558
159	105	555
160	106	553
161	106	550
162	106	547
163	107	545
164	107	543
165	108	544
166	108	541
167	108	538
168	108	535
169	109	533
170	109	530
171	109	527
172	109	525
173	110	522
174	110	520
175	110	517
176	110	515
177	111	512
178	111	510
179	111	507
180	111	504
181	111	501
182	111	499
183	112	496
184	112	494
185	112	492
186	112	489
187	112	487
188	113	485
189	113	483
190	113	481
191	113	479
192	114	477
193	114	475
194	114	473
195	114	471
196	115	469
197	115	467
198	115	466
199	116	464
200	116	463
201	116	461
202	117	460
203	117	458
204	117	456
205	118	454
206	118	453
207	118	451
208	119	450
209	119	448
210	119	447
211	119	446
212	120	444
213	120	442
214	120	441
215	121	439
216	121	438
217	121	437
218	122	435
219	122	434
220	122	433
221	123	431
222	123	430
223	123	428
224	123	426
225	124	425
226	124	423
227	124	422
228	124	420
229	125	419
230	125	418
231	125	416
232	126	414
233	126	413
234	126	411
235	126	410
236	126	408
237	127	407
238	127	405
239	127	404
240	127	402
241	128	401
242	128	399
243	128	398
244	128	397
245	129	395
246	129	394
247	129	392
248	129	391
249	130	390
250	130	389
251	130	388
252	131	387
253	131	385
254	131	384
255	131	383
256	132	381
257	132	380
258	132	379
259	133	378
260	133	377
261	133	376
262	134	375
263	134	374
264	134	373
265	134	372
266	135	370
267	135	369
268	135	368
269	135	367
270	136	366
271	136	364
272	136	363
273	136	362
274	137	361
275	137	360
276	137	359
277	138	358
278	138	357
279	138	356
280	138	355
281	139	354
282	139	353
283	139	351
284	139	350
285	140	349
286	140	348
287	140	347
288	140	346
289	141	345
290	141	344
291	141	343
292	141	342
293	142	341
294	142	340
295	142	339
296	142	338
297	143	337
298	143	336
299	143	335
300	143	334
301	144	332
302	144	331
303	144	331
304	144	330
305	145	329
306	145	328
307	145	327
308	146	326
309	146	325
310	146	325
311	147	324
312	147	323
313	147	322
314	148	321
315	148	320
316	148	320
317	148	319
318	149	318
319	149	317
320	149	316
321	150	315
322	150	314
323	150	313
324	150	313
325	151	312
326	151	311
327	151	310
328	152	310
329	152	309
330	152	308
331	152	307
332	153	306
333	153	305
334	153	304
335	153	304
336	154	303
337	154	302
338	154	301
339	154	300
340	155	299
341	155	299
342	155	298
343	156	297
