iter	Passed	Remaining
0	57	57724
1	58	28965
2	58	19386
3	58	14589
4	58	11710
5	59	9793
6	59	8420
7	59	7390
8	59	6587
9	60	5948
10	60	5425
11	60	4989
12	60	4620
13	61	4303
14	61	4028
15	61	3786
16	61	3573
17	62	3384
18	62	3215
19	62	3061
20	62	2924
21	62	2798
22	63	2699
23	63	2602
24	64	2507
25	64	2425
26	65	2342
27	65	2265
28	65	2192
29	65	2125
30	65	2062
31	66	2003
32	66	1948
33	66	1895
34	66	1846
35	67	1799
36	67	1755
37	67	1713
38	67	1673
39	68	1635
40	68	1599
41	68	1564
42	68	1531
43	69	1500
44	69	1470
45	69	1441
46	69	1413
47	69	1387
48	70	1361
49	70	1338
50	70	1314
51	70	1292
52	71	1271
53	71	1251
54	71	1230
55	71	1211
56	72	1192
57	72	1174
58	72	1157
59	72	1140
60	73	1124
61	73	1110
62	73	1099
63	74	1087
64	74	1073
65	74	1058
66	75	1045
67	75	1035
68	76	1026
69	76	1018
70	76	1006
71	77	994
72	77	983
73	77	971
74	77	960
75	78	950
76	78	939
77	78	929
78	78	919
79	79	909
80	79	899
81	79	889
82	79	879
83	79	870
84	80	861
85	80	853
86	80	844
87	80	836
88	80	828
89	81	821
90	81	813
91	81	805
92	81	798
93	82	791
94	82	784
95	82	777
96	82	770
97	82	763
98	83	757
99	83	750
100	83	744
101	83	738
102	84	732
103	84	726
104	84	720
105	84	714
106	84	709
107	85	703
108	85	698
109	85	693
110	85	688
111	86	682
112	86	677
113	86	672
114	86	667
115	87	663
116	87	658
117	87	653
118	87	648
119	87	644
120	88	640
121	88	635
122	89	636
123	89	632
124	89	628
125	90	624
126	90	619
127	90	616
128	90	612
129	91	609
130	91	606
131	91	602
132	91	599
133	92	595
134	92	591
135	92	588
136	92	585
137	93	581
138	93	578
139	93	574
140	93	571
141	93	567
142	94	564
143	94	560
144	94	557
145	94	554
146	95	551
147	95	548
148	95	545
149	95	542
150	96	539
151	96	536
152	96	533
153	96	531
154	96	528
155	97	525
156	97	522
157	97	520
158	97	517
159	98	514
160	98	511
161	98	508
162	98	506
163	98	503
164	99	501
165	99	498
166	99	496
167	99	493
168	99	491
169	100	489
170	100	486
171	100	484
172	100	482
173	101	479
174	101	477
175	101	475
176	101	473
177	101	470
178	102	468
179	102	466
180	102	464
181	102	462
182	103	460
183	103	458
184	103	456
185	103	454
186	104	453
187	104	451
188	104	449
189	104	447
190	105	446
191	105	444
192	105	442
193	106	440
194	106	439
195	106	437
196	106	435
197	107	433
198	107	431
199	107	429
200	107	428
201	107	426
202	108	424
203	108	423
204	108	421
205	108	419
206	109	417
207	109	416
208	109	414
209	109	413
210	110	411
211	110	409
212	110	408
213	110	406
214	110	405
215	111	403
216	111	402
217	111	400
218	111	399
219	112	397
220	112	396
221	112	394
222	112	393
223	113	391
224	113	390
225	113	388
226	113	387
227	113	385
228	114	384
229	114	383
230	114	381
231	114	380
232	115	379
233	115	377
234	115	376
235	115	375
236	116	373
237	116	372
238	116	371
239	116	369
240	116	368
241	117	367
242	117	365
243	117	364
244	117	363
245	118	362
246	118	360
247	118	359
248	118	358
249	119	357
250	119	356
251	119	354
252	119	353
253	120	352
254	120	351
255	120	350
256	120	348
257	120	347
258	121	346
259	121	345
260	121	344
261	121	343
262	122	342
263	122	340
264	122	339
265	122	338
266	122	337
267	123	336
268	123	335
269	123	334
270	123	333
271	124	332
272	124	331
273	124	330
274	124	329
275	125	327
276	125	326
277	125	325
278	125	324
279	125	323
280	126	322
281	126	321
282	126	320
283	126	319
284	127	318
285	127	317
286	127	316
287	127	315
288	127	314
289	128	313
290	128	312
291	128	311
292	128	310
293	129	309
294	129	308
295	129	308
296	129	307
297	129	306
298	130	305
299	130	304
300	130	303
301	130	302
302	131	301
303	131	300
304	131	299
305	131	298
306	131	297
307	132	297
308	132	296
309	132	295
310	132	294
311	133	293
312	133	292
313	133	291
314	133	291
315	134	290
316	134	289
317	134	288
318	134	287
319	135	287
320	135	286
321	135	285
322	135	284
323	136	283
324	136	283
325	136	282
326	136	281
327	137	280
328	137	279
329	137	279
330	137	278
331	137	277
332	138	276
333	138	275
334	138	275
335	138	274
336	139	273
337	139	272
338	139	271
339	139	271
340	139	270
341	140	269
342	140	268
343	140	268
344	140	267
345	141	266
346	141	265
347	141	265
348	141	264
349	141	263
350	142	262
351	142	262
352	142	261
353	142	260
354	143	259
355	143	259
356	143	258
357	143	257
358	143	257
359	144	256
360	144	255
361	144	254
362	144	254
363	145	253
364	145	252
365	145	251
366	145	251
367	145	250
368	146	249
369	146	249
370	146	248
371	146	247
372	147	247
373	147	246
374	147	245
375	147	245
376	147	244
377	148	243
378	148	243
379	149	243
380	149	242
381	149	241
382	149	241
383	149	240
384	150	240
385	150	239
386	150	238
387	150	238
388	151	237
389	151	236
390	151	236
391	151	235
392	152	234
393	152	234
394	152	233
395	152	233
396	153	232
397	153	231
398	153	231
399	153	230
400	153	229
401	154	229
402	154	228
403	154	228
404	154	227
405	155	226
406	155	226
407	155	225
408	155	224
409	155	224
410	155	223
411	156	222
412	156	222
413	156	221
414	156	220
415	156	220
416	157	219
417	157	219
418	157	218
419	157	217
420	157	217
421	158	216
422	158	215
423	158	215
424	158	214
425	158	214
426	159	213
427	159	212
428	159	212
429	159	211
430	159	211
431	160	210
432	160	209
433	160	209
434	160	208
435	160	208
436	160	207
437	161	206
438	161	206
439	161	205
440	161	205
441	162	204
442	162	203
443	162	203
444	162	202
445	162	202
446	163	201
447	163	201
448	163	200
449	163	199
450	163	199
451	163	198
452	164	198
453	164	197
454	164	197
455	164	196
456	164	195
457	165	195
458	165	194
